#{"t_start": 1684436456.7797196, "env_id": "arl-sokoban-turtle-v0"}
r,l,t,sol-length,crate,solver
-4.0,10,78.466586,0,3,0
9.0,18,78.58312,0,3,0
-10.0,12,78.65369,0,0,0
0.0,5,78.674036,0,2,0
0.0,14,78.746592,0,2,0
0.0,13,78.826839,0,0,0
-4.0,23,78.969425,0,0,0
0.0,8,79.017022,0,1,0
-9.0,8,79.056945,0,0,0
4.0,11,79.110872,0,1,0
9.0,8,79.155884,0,1,0
-9.0,11,79.228177,0,3,0
-5.0,17,79.30421,0,0,0
5.0,8,79.33839,0,1,0
5.0,16,79.411625,0,3,0
-4.0,8,79.455326,0,0,0
4.0,8,79.499865,0,0,0
5.0,7,79.533785,0,1,0
5.0,7,79.574762,0,0,0
0.0,16,79.668418,0,2,0
5.0,11,79.721962,0,1,0
5.0,16,79.790677,0,3,0
5.0,8,79.830232,0,0,0
4.0,17,79.910286,0,2,0
8.0,7,80.00247,0,2,0
-5.0,19,80.10177,0,1,0
2.0,17,80.200344,0,3,0
-6.0,8,80.249681,0,1,0
5.0,12,80.305187,0,0,0
1.0,9,80.351265,0,1,0
-10.0,12,80.409552,0,0,0
-5.0,8,80.452145,0,1,0
-9.0,12,80.510456,0,2,0
0.0,12,80.570375,0,2,0
-4.0,7,80.608323,0,2,0
4.0,11,80.724167,0,3,0
-10.0,6,80.760626,0,2,0
4.0,11,80.808695,0,3,0
0.0,7,80.843575,0,1,0
10.0,7,80.876112,0,0,0
5.0,16,80.969629,0,3,0
-8.0,14,81.062492,0,2,0
-4.0,17,81.15046,0,1,0
4.0,13,81.216405,0,3,0
9.0,13,81.294483,0,1,0
3.0,10,81.354921,0,1,0
-5.0,13,81.446341,0,1,0
0.0,8,81.491758,0,2,0
0.0,7,81.531592,0,1,0
4.0,6,81.572745,0,2,0
-4.0,8,81.648077,0,2,0
5.0,10,81.755344,0,1,0
10.0,10,81.806158,0,2,0
1.0,15,81.866635,0,0,0
1.0,8,81.911057,0,1,0
0.0,13,81.979021,0,3,0
-4.0,10,82.016524,0,0,0
-5.0,19,82.113222,0,1,0
-5.0,6,82.145974,0,2,0
-5.0,7,82.180904,0,2,0
1.0,14,82.250046,0,0,0
4.0,16,82.327367,0,2,0
4.0,14,82.405225,0,2,0
14.0,9,82.466782,0,1,0
4.0,18,82.578003,0,2,0
5.0,9,82.619917,0,2,0
0.0,8,82.65839,0,2,0
-5.0,9,82.695869,0,2,0
1.0,17,82.791055,0,0,0
-3.0,6,82.818286,0,0,0
9.0,7,82.848453,0,1,0
-4.0,14,82.916012,0,3,0
-14.0,16,82.993397,0,1,0
0.0,7,83.049417,0,2,0
-5.0,12,83.128583,0,1,0
4.0,5,83.14904,0,1,0
5.0,35,83.373859,0,0,0
11.0,13,83.450995,0,3,0
0.0,7,83.490078,0,1,0
10.0,12,83.554527,0,1,0
-18.0,9,83.61174,0,4,0
1.0,8,83.654567,0,2,0
-9.0,17,83.756684,0,0,0
-5.0,9,83.793802,0,0,0
11.0,11,83.860606,0,2,0
0.0,6,83.890785,0,3,0
9.0,13,83.957155,0,3,0
0.0,12,84.028938,0,2,0
15.0,14,84.106426,0,4,0
1.0,9,84.148641,0,2,0
0.0,6,84.182384,0,0,0
9.0,15,84.327086,0,1,0
4.0,11,84.390138,0,1,0
0.0,12,84.460758,0,3,0
5.0,6,84.495111,0,0,0
-4.0,9,84.552747,0,0,0
-5.0,5,84.575157,0,1,0
-9.0,6,84.60108,0,1,0
10.0,13,84.652777,0,2,0
8.0,9,84.706942,0,3,0
-10.0,8,84.756558,0,1,0
5.0,14,84.824088,0,2,0
5.0,25,84.93832,0,1,0
0.0,9,84.988757,0,3,0
1.0,10,85.032998,0,2,0
5.0,11,85.102424,0,0,0
-1.0,10,85.180555,0,1,0
-4.0,14,85.280093,0,1,0
-14.0,20,85.408166,0,0,0
-4.0,11,85.460725,0,4,0
10.0,12,85.520065,0,1,0
5.0,14,85.597588,0,2,0
-8.0,11,85.644513,0,1,0
0.0,10,85.689629,0,1,0
5.0,9,85.724689,0,3,0
4.0,14,85.784358,0,2,0
-5.0,14,85.899615,0,3,0
-5.0,15,86.013985,0,2,0
0.0,19,86.142629,0,1,0
1.0,14,86.223867,0,0,0
6.0,9,86.264741,0,1,0
0.0,7,86.290161,0,2,0
1.0,7,86.317993,0,1,0
-5.0,12,86.377494,0,2,0
0.0,8,86.412067,0,1,0
-5.0,7,86.457414,0,1,0
-4.0,15,86.537168,0,3,0
3.0,14,86.631746,0,1,0
0.0,23,86.759113,0,2,0
-1.0,15,86.84309,0,2,0
4.0,14,88.658453,0,1,0
-10.0,15,88.780625,0,1,0
1.0,8,88.839721,0,1,0
0.0,11,88.89767,0,2,0
-5.0,15,112.026923,0,1,0
9.0,12,112.093229,0,1,0
5.0,11,112.161278,0,0,0
9.0,11,112.226043,0,1,0
0.0,25,112.378765,0,1,0
-3.0,13,112.452476,0,0,0
6.0,5,112.483723,0,3,0
0.0,10,112.535888,0,2,0
0.0,12,112.611143,0,1,0
-5.0,11,112.69954,0,0,0
1.0,8,112.767462,0,1,0
-10.0,17,112.887495,0,2,0
-4.0,15,112.983372,0,1,0
14.0,7,113.012744,0,1,0
-5.0,9,113.05341,0,2,0
5.0,13,113.11689,0,1,0
2.0,13,113.195882,0,3,0
0.0,8,113.242312,0,1,0
-4.0,6,113.288289,0,2,0
5.0,10,113.359102,0,2,0
-5.0,10,113.410913,0,1,0
0.0,27,113.549819,0,0,0
0.0,7,113.575016,0,2,0
10.0,18,113.677017,0,2,0
4.0,9,113.730611,0,2,0
-4.0,16,113.809419,0,2,0
9.0,10,113.863197,0,1,0
5.0,17,113.947735,0,1,0
-5.0,14,114.019544,0,0,0
5.0,11,114.079176,0,1,0
19.0,16,114.160586,0,2,0
-4.0,9,114.222781,0,2,0
-13.0,13,114.285643,0,0,0
0.0,9,114.333346,0,2,0
-5.0,17,114.438069,0,0,0
1.0,7,114.486536,0,1,0
1.0,11,114.549215,0,2,0
10.0,10,114.615497,0,1,0
6.0,20,114.718011,0,0,0
9.0,8,114.770252,0,1,0
-5.0,23,114.899185,0,3,0
-5.0,13,114.966578,0,2,0
0.0,5,114.993538,0,3,0
-9.0,11,115.053899,0,2,0
0.0,10,115.109513,0,0,0
1.0,21,115.20192,0,2,0
1.0,11,115.288357,0,1,0
5.0,8,115.335402,0,3,0
11.0,7,115.371335,0,2,0
-8.0,15,115.468595,0,0,0
0.0,15,115.555654,0,1,0
0.0,9,115.607788,0,0,0
-1.0,8,115.673137,0,2,0
-4.0,7,115.7097,0,3,0
1.0,9,115.752456,0,3,0
0.0,9,115.789875,0,0,0
0.0,11,115.898864,0,1,0
1.0,13,115.975992,0,3,0
10.0,14,116.062601,0,3,0
-9.0,11,116.108504,0,1,0
-9.0,13,116.212048,0,3,0
5.0,18,116.348903,0,1,0
0.0,10,116.395197,0,1,0
-6.0,12,116.528721,0,2,0
-5.0,22,116.678435,0,0,0
-9.0,16,116.746934,0,1,0
1.0,6,116.781864,0,2,0
0.0,14,116.975264,0,2,0
5.0,12,117.032847,0,1,0
0.0,11,117.109301,0,1,0
4.0,14,117.166867,0,4,0
-5.0,13,117.249341,0,1,0
-4.0,15,117.330183,0,2,0
-5.0,13,117.435557,0,3,0
-5.0,10,117.507696,0,1,0
5.0,11,117.568267,0,4,0
4.0,11,117.64542,0,1,0
-8.0,22,117.775457,0,3,0
6.0,11,117.833229,1,1,0
11.0,14,117.917263,0,3,0
4.0,9,117.961318,0,1,0
5.0,5,117.998053,0,0,0
0.0,6,118.059764,0,2,0
5.0,10,118.171452,0,1,0
5.0,18,118.278471,0,2,0
0.0,5,118.314527,0,0,0
5.0,8,118.365161,0,1,0
4.0,9,118.455869,0,1,0
9.0,17,118.544577,0,1,0
0.0,9,118.581487,0,2,0
-5.0,11,118.628763,0,2,0
10.0,9,118.667752,0,0,0
12.0,11,118.726275,0,2,0
-4.0,11,118.783718,0,2,0
5.0,10,118.823525,0,3,0
10.0,22,118.959347,0,2,0
-4.0,12,119.039701,0,2,0
-5.0,9,119.093557,0,1,0
4.0,26,119.257771,0,1,0
-4.0,17,119.360726,0,2,0
10.0,12,119.42565,0,1,0
5.0,13,119.501574,0,0,0
1.0,10,119.621691,0,2,0
0.0,13,119.704586,0,2,0
-4.0,8,119.746146,0,1,0
10.0,11,119.796956,0,3,0
13.0,14,119.8639,0,1,0
-4.0,16,119.940981,0,3,0
-8.0,6,119.965176,0,3,0
12.0,9,120.016344,0,2,0
0.0,8,120.058952,0,0,0
-4.0,14,120.15806,0,4,0
5.0,10,120.218749,0,2,0
-4.0,9,120.309129,0,4,0
5.0,9,120.371834,0,2,0
6.0,8,120.405753,0,2,0
0.0,15,120.474984,0,1,0
5.0,14,120.549175,0,0,0
-6.0,15,120.611378,0,3,0
15.0,7,120.642617,0,1,0
1.0,11,120.687917,0,0,0
5.0,17,120.790477,0,1,0
1.0,14,120.859385,0,1,0
5.0,15,120.93265,0,2,0
0.0,7,120.976148,0,2,0
-4.0,9,121.013175,0,1,0
-3.0,12,121.075992,0,3,0
0.0,11,121.134072,0,1,0
-4.0,10,121.212316,0,1,0
9.0,15,121.287629,0,2,0
13.0,14,121.370478,0,1,0
0.0,11,121.431378,0,0,0
-3.0,9,121.490094,0,0,0
-4.0,8,121.546599,0,3,0
1.0,10,121.604422,0,4,0
0.0,10,121.672681,0,1,0
0.0,14,121.755284,0,2,0
4.0,26,121.896747,0,1,0
5.0,16,122.014121,0,1,0
-5.0,11,122.072227,0,2,0
4.0,24,122.196034,0,0,0
5.0,10,122.243151,0,2,0
-4.0,12,122.300803,0,0,0
10.0,14,122.371125,0,2,0
-4.0,14,122.570804,0,2,0
1.0,9,122.629319,0,0,0
10.0,13,122.716105,0,4,0
0.0,12,122.793301,0,3,0
0.0,10,122.860016,0,2,0
1.0,15,122.970493,0,3,0
9.0,12,123.04155,0,3,0
-4.0,10,123.096034,0,2,0
-6.0,19,123.231178,0,2,0
9.0,13,123.317254,0,3,0
0.0,8,123.349472,0,1,0
-3.0,17,123.439708,0,4,0
