#{"t_start": 1685220598.6028614, "env_id": "Sokoban-arl-v0"}
r,l,t,all_boxes_on_target
9.3,17,1372.94879,True
9.3,17,1373.252097,True
8.8,22,1373.6395,True
9.3,17,1373.938775,True
9.3,17,1374.243162,True
8.6,24,1374.657437,True
9.5,15,1374.905466,True
9.6,14,1375.136549,True
9.0,20,1375.474442,True
9.3,17,1375.756513,True
9.3,17,1376.041096,True
8.4,26,1376.503842,True
9.6,14,1376.757439,True
8.9,21,1377.124887,True
9.2,18,1377.434748,True
9.6,14,1377.672874,True
9.6,14,1377.90117,True
9.3,17,1378.197082,True
8.8,22,1378.699146,True
9.0,20,1379.02591,True
7.4,36,1379.613413,True
8.2,28,1380.117704,True
9.5,15,1438.669524,True
9.3,17,1438.95992,True
9.5,15,1439.222359,True
8.3,27,1439.703585,True
9.1,19,1440.059412,True
9.2,18,1440.368155,True
8.7,23,1440.755841,True
9.4,16,1441.036423,True
9.4,16,1441.327692,True
9.4,16,1441.612581,True
9.3,17,1441.902816,True
9.4,16,1442.194736,True
8.6,24,1442.638836,True
9.6,14,1442.876906,True
8.9,21,1443.241004,True
8.7,23,1443.640649,True
9.0,20,1443.969011,True
9.1,19,1444.301563,True
9.2,18,1444.61508,True
9.4,16,1444.893262,True
9.1,19,1445.215288,True
9.4,16,1445.471406,True
9.0,20,1445.819045,True
9.5,15,1446.092596,True
9.6,14,1446.336511,True
9.5,15,1446.593728,True
9.4,16,1446.862599,True
9.3,17,1447.165091,True
8.8,22,1447.539578,True
9.4,16,1447.932312,True
9.3,17,1448.231975,True
9.4,16,1448.505255,True
8.2,28,1449.002168,True
9.4,16,1449.306206,True
9.6,14,1449.570785,True
8.5,25,1450.025931,True
9.5,15,1450.290846,True
9.5,15,1450.555155,True
9.0,20,1450.914204,True
9.0,20,1451.267061,True
9.6,14,1451.529391,True
9.6,14,1451.780457,True
8.8,22,1452.159154,True
9.4,16,1452.439166,True
9.4,16,1452.716703,True
9.3,17,1453.006121,True
8.9,21,1453.365123,True
9.5,15,1453.631765,True
9.0,20,1453.989135,True
9.2,18,1454.28683,True
9.6,14,1454.5988,True
9.4,16,1454.859047,True
9.1,19,1455.191129,True
8.9,21,1455.562816,True
9.5,15,1455.844064,True
9.5,15,1456.112321,True
9.2,18,1456.430746,True
8.4,26,1456.88103,True
9.1,19,1457.231318,True
9.5,15,1457.489913,True
9.4,16,1457.779164,True
9.3,17,1458.081024,True
9.6,14,1458.337175,True
9.4,16,1458.620974,True
8.7,23,1459.178076,True
9.6,14,1459.431347,True
9.5,15,1459.707497,True
9.5,15,1459.980519,True
9.3,17,1460.284444,True
9.5,15,1460.537421,True
9.5,15,1460.797271,True
9.6,14,1461.037545,True
9.6,14,1461.296889,True
9.3,17,1461.607233,True
9.2,18,1461.909099,True
8.7,23,1462.329824,True
9.4,16,1462.621343,True
9.3,17,1462.917344,True
9.0,20,1463.24006,True
9.1,19,1463.578461,True
9.4,16,1463.848751,True
9.0,20,1464.190337,True
9.6,14,1464.44525,True
9.3,17,1464.729228,True
9.5,15,1465.007733,True
9.2,18,1465.303237,True
8.9,21,1465.668938,True
9.1,19,1466.014085,True
9.5,15,1466.274553,True
9.2,18,1466.612223,True
9.0,20,1466.96857,True
9.2,18,1467.300016,True
9.5,15,1467.567923,True
9.6,14,1467.797428,True
9.4,16,1468.069172,True
9.3,17,1468.357285,True
9.4,16,1468.645345,True
9.1,19,1468.995956,True
9.4,16,1469.280744,True
8.9,21,1469.664662,True
9.2,18,1469.976123,True
9.5,15,1470.320948,True
9.4,16,1470.608906,True
9.2,18,1470.947706,True
9.3,17,1471.256871,True
9.4,16,1471.548235,True
9.6,14,1471.796734,True
9.6,14,1472.056345,True
9.4,16,1472.345911,True
9.5,15,1472.614006,True
9.4,16,1472.902859,True
9.5,15,1473.16985,True
9.6,14,1473.408902,True
9.2,18,1473.725369,True
9.6,14,1473.978159,True
9.5,15,1474.252933,True
9.4,16,1474.544713,True
9.6,14,1474.805069,True
9.4,16,1531.712704,True
9.6,14,1531.97609,True
9.0,20,1532.332989,True
9.3,17,1532.643203,True
9.2,18,1532.930466,True
9.5,15,1533.185329,True
9.3,17,1533.476838,True
9.1,19,1533.813066,True
